Datasets and Dataloaders created
Training starts
../../src/posterior_networks/PosteriorNetwork.py:166: UserWarning: Anomaly Detection has been enabled. This mode will increase the runtime and should only be enabled for debugging.
  with autograd.detect_anomaly():
Epoch 0 -> Val loss 1.833 | Val Acc.: 0.15
Model saved
Epoch 1 -> Val loss 1.833 | Val Acc.: 0.15
Epoch 2 -> Val loss 1.833 | Val Acc.: 0.2
Epoch 3 -> Val loss 1.833 | Val Acc.: 0.3
Epoch 4 -> Val loss 1.833 | Val Acc.: 0.4
Epoch 5 -> Val loss 1.833 | Val Acc.: 0.45
Epoch 6 -> Val loss 1.833 | Val Acc.: 0.4
Epoch 7 -> Val loss 1.833 | Val Acc.: 0.4
Epoch 8 -> Val loss 1.833 | Val Acc.: 0.4
Epoch 9 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 10 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 11 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 12 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 13 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 14 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 15 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 16 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 17 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 18 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 19 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 20 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 21 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 22 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 23 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 24 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 25 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 26 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 27 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 28 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 29 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 30 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 31 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 32 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 33 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 34 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 35 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 36 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 37 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 38 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 39 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 40 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 41 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 42 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 43 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 44 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 45 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 46 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 47 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 48 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 49 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 50 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 51 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 52 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 53 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 54 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 55 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 56 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 57 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 58 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 59 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 60 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 61 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 62 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 63 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 64 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 65 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 66 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 67 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 68 -> Val loss 1.833 | Val Acc.: 0.35
