<torch.utils.data.dataloader.DataLoader object at 0x7fedf54f6198>
Datasets and Dataloaders created
Training starts
../../src/posterior_networks/PosteriorNetwork.py:166: UserWarning: Anomaly Detection has been enabled. This mode will increase the runtime and should only be enabled for debugging.
  with autograd.detect_anomaly():
Epoch 0 -> Val loss 1.833 | Val Acc.: 0.2
Model saved
Epoch 1 -> Val loss 1.833 | Val Acc.: 0.2
Epoch 2 -> Val loss 1.833 | Val Acc.: 0.2
Epoch 3 -> Val loss 1.833 | Val Acc.: 0.2
Epoch 4 -> Val loss 1.833 | Val Acc.: 0.2
Epoch 5 -> Val loss 1.833 | Val Acc.: 0.2
Epoch 6 -> Val loss 1.833 | Val Acc.: 0.2
Epoch 7 -> Val loss 1.833 | Val Acc.: 0.1
Epoch 8 -> Val loss 1.833 | Val Acc.: 0.3
Epoch 9 -> Val loss 1.833 | Val Acc.: 0.4
Epoch 10 -> Val loss 1.833 | Val Acc.: 0.4
Epoch 11 -> Val loss 1.833 | Val Acc.: 0.4
Epoch 12 -> Val loss 1.833 | Val Acc.: 0.4
Epoch 13 -> Val loss 1.833 | Val Acc.: 0.4
Epoch 14 -> Val loss 1.833 | Val Acc.: 0.4
Epoch 15 -> Val loss 1.833 | Val Acc.: 0.4
Epoch 16 -> Val loss 1.833 | Val Acc.: 0.4
Epoch 17 -> Val loss 1.833 | Val Acc.: 0.4
Epoch 18 -> Val loss 1.833 | Val Acc.: 0.4
